City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Goure,NE,13.98,10.27,93.99,12,48,1.01,scattered clouds
69,Mananjary,MG,-21.22,48.33,71.85,84,1,7.16,clear sky
70,Icod De Los Vinos,ES,28.37,-16.71,77.0,93,75,24.16,broken clouds
71,Centralia,US,46.72,-122.95,53.01,93,1,4.7,clear sky
72,Vila Franca Do Campo,PT,37.72,-25.43,62.6,67,40,17.22,scattered clouds
73,Jaca,ES,42.57,-0.55,59.0,72,75,18.34,broken clouds
74,Tonj,SS,7.27,28.68,74.5,86,18,5.08,few clouds
75,Huarmey,PE,-10.07,-78.15,69.67,64,21,8.52,few clouds
76,Ancud,CL,-41.87,-73.82,53.6,51,0,8.05,clear sky
77,Iqaluit,CA,63.75,-68.51,30.2,74,75,2.24,light snow
78,Phalodi,IN,27.13,72.37,88.84,30,30,8.28,scattered clouds
79,Chicama,PE,-7.84,-79.15,66.2,77,20,12.75,mist
80,Ribeira Grande,PT,38.52,-28.7,66.2,59,40,9.17,scattered clouds
81,Hilo,US,19.73,-155.09,73.99,68,20,9.17,few clouds
82,Tahoua,NE,14.89,5.27,96.8,25,20,4.7,few clouds
83,Bayanday,RU,53.07,105.51,24.94,83,61,2.19,broken clouds
84,Koindu,GN,8.44,-10.33,75.2,92,69,2.1,moderate rain
85,Chongwe,ZM,-15.33,28.68,82.4,14,0,8.05,clear sky
86,Husavik,IS,66.04,-17.34,32.0,90,63,3.36,broken clouds
87,East London,ZA,-33.02,27.91,62.6,67,30,19.46,scattered clouds
88,Slave Lake,CA,55.28,-114.77,23.0,73,1,2.24,clear sky
89,Arraial Do Cabo,BR,-22.97,-42.03,78.8,69,6,21.92,clear sky
90,Alofi,NU,-19.06,-169.92,71.6,88,72,10.29,broken clouds
91,Bodaybo,RU,57.85,114.19,19.74,93,100,5.08,overcast clouds
92,The Valley,AI,18.22,-63.06,87.8,70,20,9.17,few clouds
93,Tuatapere,NZ,-46.13,167.68,41.0,90,40,5.03,scattered clouds
94,Souillac,MU,-20.52,57.52,75.2,73,20,11.41,few clouds
95,Nanortalik,GL,60.14,-45.24,37.58,85,98,3.96,overcast clouds
96,Klyuchi,RU,52.27,79.17,44.6,58,45,8.86,scattered clouds
97,Cap Malheureux,MU,-19.98,57.61,75.99,69,0,8.99,clear sky
98,Bogorodskoye,RU,56.55,37.88,32.92,94,78,9.86,broken clouds
99,Camacha,PT,33.08,-16.33,69.8,64,20,20.8,few clouds
100,Novoselitskoye,RU,44.75,43.44,55.0,81,75,2.24,broken clouds
101,Saskylakh,RU,71.92,114.08,21.34,97,88,6.96,overcast clouds
102,Kaitangata,NZ,-46.28,169.85,48.0,85,98,2.15,overcast clouds
103,Mar Del Plata,AR,-38.0,-57.56,59.0,41,83,13.87,broken clouds
104,Ovalle,CL,-30.6,-71.2,85.41,18,0,10.83,clear sky
105,Abu Kamal,SY,34.45,40.92,74.82,27,0,5.77,clear sky
106,Garowe,SO,8.41,48.48,85.53,37,0,6.71,clear sky
107,Kismayo,SO,-0.36,42.55,79.3,78,2,14.74,clear sky
108,Farafangana,MG,-22.82,47.83,72.61,85,3,10.29,clear sky
109,Broken Hill,AU,-31.95,141.43,62.6,36,65,3.36,broken clouds
110,Barrow,US,71.29,-156.79,28.4,86,90,6.93,overcast clouds
111,Ust-Maya,RU,60.42,134.53,20.77,97,100,3.13,overcast clouds
112,Cidreira,BR,-30.18,-50.21,72.95,76,1,11.99,clear sky
113,Yulara,AU,-25.24,130.99,69.8,60,0,8.05,clear sky
114,Hami,CN,42.8,93.45,44.53,54,0,0.2,clear sky
115,Bengkulu,ID,-3.8,102.27,76.71,82,98,3.96,overcast clouds
116,Yaan,NG,7.38,8.57,79.43,80,38,4.45,scattered clouds
117,Kattivakkam,IN,13.22,80.32,78.8,94,40,4.7,mist
118,Kutum,SD,14.2,24.67,81.16,14,6,13.35,clear sky
119,Grindavik,IS,63.84,-22.43,39.2,71,100,4.7,overcast clouds
120,Gigmoto,PH,13.78,124.39,80.74,80,100,12.88,overcast clouds
121,Fukue,JP,32.69,128.84,70.47,63,7,10.94,clear sky
122,New Norfolk,AU,-42.78,147.06,52.0,68,100,2.19,overcast clouds
123,Port Moresby,PG,-9.44,147.18,75.49,91,66,8.34,broken clouds
124,Narsaq,GL,60.92,-46.05,35.6,93,75,3.36,fog
125,Faanui,PF,-16.48,-151.75,78.64,83,79,17.09,broken clouds
126,Ostrovnoy,RU,68.05,39.51,38.01,77,100,16.2,overcast clouds
127,Coquimbo,CL,-29.95,-71.34,62.6,67,0,18.34,clear sky
128,Samana,DO,19.21,-69.34,87.8,74,20,6.93,few clouds
129,Sola,VU,-13.88,167.55,80.06,78,100,14.29,moderate rain
130,Hope,US,33.67,-93.59,84.0,67,91,3.0,overcast clouds
131,Corbelia,BR,-24.8,-53.31,91.4,33,40,6.93,scattered clouds
132,Yellowknife,CA,62.46,-114.35,26.6,79,75,2.24,broken clouds
133,Tarakan,ID,3.3,117.63,80.33,81,80,3.69,broken clouds
134,Sovetskaya Gavan,RU,48.97,140.29,36.59,75,0,3.67,clear sky
135,Lazaro Cardenas,MX,17.96,-102.2,86.83,67,83,3.22,broken clouds
136,Tiznit,MA,29.58,-9.5,77.97,37,55,14.7,broken clouds
